year,lyr_des,gen_cate,lyr_gen,n_lyr,n_gen,n_lyr_gen,total,p_lyrics,p_lyr_lci,p_lyr_uci,p_genre,p_gen_lci,p_gen_uci,p_lyrgen,p_lyrgen_lci,p_lyrgen_uci
1999,marijuana,gen_country,"marijuana,gen_country",330,419,46,2233,14.77832512315271,13.345456378871196,16.334007533080925,18.76399462606359,17.177178557119653,20.45957894767022,10.978520286396181,8.22804574897175,14.465944519450094
1999,marijuana,gen_hiphop,"marijuana,gen_hiphop",330,550,60,2233,14.77832512315271,13.345456378871196,16.334007533080925,24.63054187192118,22.866249649477798,26.483061548957,10.909090909090908,8.488865151207664,13.890341373847551
1999,marijuana,gen_rap,"marijuana,gen_rap",330,403,141,2233,14.77832512315271,13.345456378871196,16.334007533080925,18.0474697716077,16.48606734221298,19.72015844951264,34.98759305210918,30.37368213357216,39.89251738951073
1999,marijuana,gen_rock,"marijuana,gen_rock",330,611,92,2233,14.77832512315271,13.345456378871196,16.334007533080925,27.362292879534262,25.531364305980713,29.27191610685087,15.057283142389524,12.365286845911626,18.198439356123522
1999,alcohol,gen_country,"alcohol,gen_country",39,419,5,2233,1.7465293327362292,1.2612750184190513,2.4042670181109425,18.76399462606359,17.177178557119653,20.45957894767022,1.1933174224343674,0.4401441629892638,2.926511649745057
1999,alcohol,gen_hiphop,"alcohol,gen_hiphop",39,550,0,2233,1.7465293327362292,1.2612750184190513,2.4042670181109425,24.63054187192118,22.866249649477798,26.483061548957,0,0,0.8646680312886169
1999,alcohol,gen_rap,"alcohol,gen_rap",39,403,17,2233,1.7465293327362292,1.2612750184190513,2.4042670181109425,18.0474697716077,16.48606734221298,19.72015844951264,4.218362282878412,2.5540418466220367,6.800356181811984
1999,alcohol,gen_rock,"alcohol,gen_rock",39,611,9,2233,1.7465293327362292,1.2612750184190513,2.4042670181109425,27.362292879534262,25.531364305980713,29.27191610685087,1.4729950900163666,0.720531105560772,2.881202150268794
1999,other_illicit,gen_country,"other_illicit,gen_country",574,419,109,2233,25.705329153605017,23.913723231315977,27.58141007399989,18.76399462606359,17.177178557119653,20.45957894767022,26.014319809069214,21.932908501466887,30.543852007751767
1999,other_illicit,gen_hiphop,"other_illicit,gen_hiphop",574,550,129,2233,25.705329153605017,23.913723231315977,27.58141007399989,24.63054187192118,22.866249649477798,26.483061548957,23.454545454545457,20.019489575313585,27.267249277873916
1999,other_illicit,gen_rap,"other_illicit,gen_rap",574,403,241,2233,25.705329153605017,23.913723231315977,27.58141007399989,18.0474697716077,16.48606734221298,19.72015844951264,59.801488833746895,54.81850255923044,64.5946070539221
1999,other_illicit,gen_rock,"other_illicit,gen_rock",574,611,125,2233,25.705329153605017,23.913723231315977,27.58141007399989,27.362292879534262,25.531364305980713,29.27191610685087,20.458265139116204,17.372300288802947,23.922775738944054
2000,marijuana,gen_country,"marijuana,gen_country",854,816,99,4822,17.71049357113231,16.648693442288096,18.824194140273637,16.922438822065534,15.88046216911819,18.017591774265,12.132352941176471,10.011640088307526,14.617585198346166
2000,marijuana,gen_hiphop,"marijuana,gen_hiphop",854,1470,401,4822,17.71049357113231,16.648693442288096,18.824194140273637,30.485275819162172,29.19167183746253,31.810195781749357,27.27891156462585,25.03044640496724,29.647584885702837
