abyssinian tea
acid
adam
african salad
alice
ames
amidone
amies
amys
angel
angel dust
apache
apple jacks
aroma of men
aunt nora
aya
bananas
base head
basing
bath salts
batman
bazulco
beamer
beans
bernice
bernie
berries
biak-biak
bicycle handle bars
big c
big chief
big rush
big whites
binger
bipping
biscuits
black button
black eagle
black pearl
black rock
black stuff
black tar
blast
blind squid
bliss
blotter
blow
blow blue
blow clouds
blow coke
blowcaine
blown up
blue caps
blue heaven
blueberries
blues
bolt
boogahead
booger pipe
boomers
bopper
bowlo
brick
brown crystal
brown rhine
brown sugar
brown tape
bubble
buffer
bullet
bump
buse
bust a heemi
butt naked
buttons
buzz bomb
buzzed
cactus
caps
captain cody
cat valium
catha
chalet
chalk
channel swimmer
charlie
chase the dragon
chaser
chasing
chill pills
china girl
china white
chipper
chiva
christina
circles
clarity
climax
closet baser
cloud nine
cluck
coca
cody
coke
coke hound
cokehead
cokey
cokie
colombia
cook down
cookies
cotton candy
cotton shooter
cow patties
crack
crack pipe
cracker jack
crangbustin
crank
crankenstein
cranker
cranker man
cream
crisscrossing
crystal
crystal meth
crystal ship
cuddle puddle
dance fever
dancing shoes
date rape drug
demmies
devil’s dick
dex
dextro
dice
dillies
dime
dime tabs
dimitri
dinosaurs
dipper head
disco biscuits
diviner’s sage
do a line
do a rail
dollies
dolls
dope
dope fiend
dosed
dots
downers
dragon
drix
dro
dunk
dust
dusted
duster
dusthead
dusting
dynamiter
egg rolls
eightball
ercs
eve
faced
faced out
fizzies
flake
flakka
flipping
fluff
freebase
freebasing
french fries
fungus
gacked out
gak
garbage
garbage head
geeb
geeker
georgia home boy
getting well
getting wet
ghost busting
gick monster
gina
glass dick
glass rose
go fast
go skiing
go-go juice
god’s drug
goodfella
goop
gravy
green
green button
greenies
grievous bodily harm
gringa
grit
hail
half moon
happy pills
hard rock
hardliner
hardware
herbal speedball
hillbilly heroin
hippie crack
hit a wack
hitting the slopes
hoasca
hongos
hubba
hulk
hydros
hype
jack up
jackpot
jellies
jet
jib head
jib whistle
jolly popper
juice
junk
junker
junkie
k-hold
k-pin
kahyam
kat
kay
ketum
key bump
kickers
kilo
kingsford
klingon
kryptonite
la rocha
ladders
laughing gas
liquid e
liquid x
little c
little smoke
locker room
loved up
lover’s speed
lunar wave
lunch money
magic mint
magic mushrooms
malcolm
malcolm x
maria pastora
mescal
meth
meth head
meth maggot
meth monster
mexican black tar heroin
mexican brown
mexican horse
mexican mud
mexican tar
mexican valium
mind eraser
miss emma
moggies
monkey
monkey crusher
moon
moon rocks
morpho
mud
murder 8
mushies
nickelonians
no doze
no stop
nubs
nuggets
o bomb
oat
octagons
oil burner
oranges
oxy
oxycet
oxycotton
ozone
pain killer
peace
peaking
pearl
pearls
peeper
peezo
pelo
percs
pill face
pin
pink footballs
pinks
pipa
pipero
pizza toppings
pizzie
poison people
pookie
poppers
powder
puller
purple caps
purple drank
purple haze
purple passion
purple rain
qat
quicksilver
rail
red devils
red rock
redneck cocaine
ride the rails
rims
robo
robotripping
rock
rock pipe
rocket fuel
rocks
roll balls
rolling
rolls
roofies
roxy
rush
sack
sally-d
san pedro
scarface
scat
schmecker
school bus
schoolboy
scooby snacks
scoop
shaman
sherm head
shoot up
shrooms
shwok
sizzurp
skag
skunk
sleeping pills
sleepwalker
sleet
smack
smack head
smacked
small whites
smartees
smokin rain
snappers
snort
snow bird
snow bunny
snowball
snowblower
sobos
space basing (pcp and crack cocaine)
space blasting (pcp and crack cocaine)
space rocks
special k
speed
speed freak
speedball
spun
stained on the hardware
stardust
stash
stem
stop signs
stops
straight shooter
strips
sub
subs
substance d
sugar block
sugar cubes
super acid
super valium
tabs
tango and cash
tar
texas tea
the dragon
the rogan
the spirit molecule
the vowel
thizz face
thom
thrust
tires
tnt
tootsie roll
topi
topo
tops
tornado
toucher
trammies
tranks
trash
trey
triple c
triple stacks
tussin
tweaker
tweaking
tweek
tweezes
twirling
twizzal stick
ultras
uppers
v-itamin
vallies
vanilla sky
vikes
vitamin e
vitamin k
vitamin x
vowel
wash
watson-387
wheels
whippets
whistle
white boy
white cross
white girl
white horse
white lady
white lightning
white nurse
white stuff
wolfies
xan
xanies
xtc
yam
yay
yellow fever
yellow footballs
yellow sunshine
zan
zanbars
zannies
zombie
