airhead
ashes
baby bhang
baked
bammy
black mamba
blanket
blazed
blazer
blitzed
blown
blown out
blunt
blunted
bo-bo
bobo bush
bombay blue
bomber
bong
bong rat
boom
bowl
bread
broccoli
bubbler
bud
burned
caned
caramelyzed
cheeba
chronic
cripple
crossfaded
crunched
crunk
dagga
dankhead
dankrupt
dinkie dow
dona juana
dona juanita
doob
doober
doobie
dope
doper
druggie
faded
fake weed
fatty
flower power
flower tops
ganja
gasper
geeked
genie
giggle smoke
giggle weed
glass
good butt
good giggles
grass
gravity bong
green
hash
hash head
herb
herbalist
herbivore
high as a kite
hogger
hot stick
hurt
in like flint
jane
jay
joint
jolly green
jolly green giant
joy smoke
joy stick
k2
keyed
kieffer
krunked
mary jane
maryjane
mj
moon rocks
one-hitter
pax
percolator
piece
pipe
pot
pot-head
pothead
reefer
ripped
roach
sketch
skunk
skunt
sloppy
spice
spiff
spliff
stoned
stoner
stonette
strunk
stuck
toker
trees
vape
water pipe
weed
weedhead
zohai
zoned
