value
candy
 downers
 sleeping pills
 tranks
candy
 downers
 sleeping pills
 tranks
k
 k-pin
 pin
 super valium
candy
 downers
 sleeping pills
 tranks
circles
 date rape drug
 forget-me pill
 la rocha
 lunch money
 mexican valium
 mind eraser
 roofies
 wolfies
eggs
 jellies
 moggies
 vallies
bars
 bicycle handle bars
 footballs
 french fries
 hulk
 ladders
 school bus
 xan
 xanies
 zan
 zannies
 zanbars
 z-bars
aya
 hoasca
 yagé
dimitri
 the rogan
 the spirit molecule
date rape drug
 g
 geeb
 georgia home boy
 gina
 goop
 grievous bodily harm
 liquid e
 liquid x
 scoop
blind squid
 cat valium
 green
 jet
 k
 k-hold
 kay
 special k
 super acid
 vitamin k
abyssinian tea
 african salad
 catha
 chat
 kat
 oat
 qat
biak-biak
 herbal speedball
 ithang
 kahyam
 ketum
 thom
acid
 blotter
 dots
 electric kool aid
 lucy in the sky with diamonds
 purple haze
 sugar cubes
 yellow sunshine
big chief
 blue caps
 buttons
 cactus
 mescal
 moon
 san pedro
 topi
alice
 boomers
 caps
 cow patties
 fungus
 hongos
 magic
 magic mushrooms
 mushies
 pizza toppings
 shrooms
 tweezes
angel
 angel dust
 butt naked
 dust
 purple rain
 rocket fuel
 stardust
 water
 wet
 yellow fever
 zombie
black button
 cactus
 green button
 half moon
 nubs
 shaman
 tops
little smoke
 magic mushrooms
 purple passion
 shrooms
diviner’s sage
 magic mint
 maria pastora
 sally-d
bath salts
 bliss
 cloud nine
 flakka
 lunar wave
 scarface
 vanilla sky
 white lightning
chiva
 mexican black tar heroin
 mexican tar
aunt
 aunt nora
 batman
 bazulco
 bernice
 bernie
 big c
 big rush
 blow
 blowcaine
 bump
 c
 candy
 charlie
 coca
 coke
 colombia
 crack
 dust
 flake
 gringa
 hubba
 line
 pearl
 powder
 rail
 rock
 she
 snow
 stardust
 stash
 white girl
speedball
apple jacks
 base
 ball
 black rock
 blotter
 bopper
 chemical
 crack
 crankenstein
 dice
 garbage
 grit
 hail
 hard rock
 kryptonite
 moon rocks
 purple caps
 nuggets
 poor man’s cocaine
 redneck cocaine
 rock
 rocks
 sleet
 space rocks
